Business Name,Phone #,Phone # 2,Web Address,Business Catagory
Two Row Architect,(519) 445-2137,,www.tworow.com,Architect
Iroquois Lacrosse Arena,(905) 768-2225,,www.aeslacrosse.com,Arena
Six Nations Sports & Cultural Memorial Centre,(519) 445-4311,,,Arena
Blue Feather Pottery & Workshops,(226) 388-0073,,,Art
Bomberry Productions - Photography,(519) 717-3341,,,Art
Ojistoh Publishing,(250) 884-5548,,www.ojistohpublishing.com,Art
Two Turtle Art Gallery & Studio,(289) 253-8545,,www.twoturtle.ca,Art
OUR MEDICINES~ONONHKWA,(519) 757-2565,,,Art & Crafts
Creations by Theresa,(519) 732-6633,,,Arts & Crafts
Everything Cornhusk,(519) 717-2644,,,Arts & Crafts
Grand River Artisan Market,(519) 757-2565,,,Arts & Crafts
Healing Through The Arts Lodge,(548) 328-0505,,,Arts & Crafts
I&S Craft and Supplies,(905) 768-9023,,,Arts & Crafts
IROQRAFTS,(519) 445-0414,,www.iroqrafts.com,Arts & Crafts
Martin's Crafts,(519) 445-2558,,,Arts & Crafts
Native Glass,,,www.nativeglass.shop,Arts & Crafts
Salves by Cindy,(905) 517-7281,,,Arts & Crafts
Seneca Rug Hooking/Diamond Dotz,(226) 388-6007,,,Arts & Crafts
The Wampum Shop,(519) 445-2100,,www.wampumshop.com,Arts & Crafts
Johnson Farm & Garden Inc.,289-880-7753,,,Auctioneer
The D.A.M. Studio,(905) 464-5931,,,Audio/Video Production
Thru The Red Door,(519) 445-3030,(519) 445-3000,www.thruthereddoor.com,Audio/Video Production
True Seed Media,(519) 732-3065,,www.trueseedmedia.com,Audio/Video Production
Classics to Customs Autobody,(519) 861-1074,(905) 768-1151,,Automotive
Eagle Engines,(226) 388-4404,,,Automotive
G.N.E. Automotive,(519) 445-0537,,,Automotive
GER Automotive (Issac Automotive),(519) 445-4527,,,Automotive
Hess Auto Tech,(519) 445-4915,,,Automotive
Hill's Auto Body,(519) 445-2666,,,Automotive
Hill's Auto Glass,(519) 445-2666,,,Automotive
Honest Engine,(905) 768-2932,(519) 717-5331,,Automotive
JRI Automotive,(519) 761-9486,,,Automotive
Sit'n Bull Tire,(905) 765-7884,,,Automotive
Gale's Auto Aftermarket,(519) 445-2659,1-888-677-0022,,Automotive Parts
Hess Performance - Rims/Tires,(905) 768-8756,,,Automotive Parts
Heavenly Sweets By Joleen,(905) 962-1224,,www.facebook.com/heavenlysweetsbyjoleen,Bakery
Sweet Sensations,(519) 445-4031,,,Bakery
Tasty Treats By Ty,,,www.tastytreatsbyty.com,Bakery
Tradtional Treats,(519) 445-2756,,,Bakery
Bank of Montreal,(519) 445-4733,,www.bmo.com,Banks
Royal Bank of Canada,(519) 445-4141,,www.RBC.com,Banks
Authentic Design & Drafting,(519) 445-1471,,www.a-homes.ca,Blueprints/Designs/Drafting
Black Bear OnDemand,(519) 770-5496,,,Blueprints/Designs/Drafting
Mississaugas of the Credit First Nations Econ. Dev,(905) 768-1133,,www.mncfn.ca,Business Development
Six Nations of Grand River Development Corporation,(519) 753-1950,I,www.sndevcorp.ca,Business Development
Two Rivers Community Development Centre,(519) 445-4567,,www.tworivers.ca,Business Financing
First Nations Cable Inc.,(519) 445-2981,,,Cable
Chiefswoods Park,(519) 752-3969,,www.chiefswoodpark.ca,Campground
JCC (GrandRiver) EMPORIUM,(519) 755-4054,(519) 445-2812,www.jccgrandriveremporium.ca,Campground
Kanata Car Wash,,,,Car Wash/Cleaning
Townline Interior Car Clean,(519) 865-1141,,,Car Wash/Cleaning
CA Culinary Services,(905) 541-5064,,,Catering
K.C. Sweets,(289) 775-7199,,www.kcsweets.ca,Catering
Legends Catering,(905) 902-5477,,,Catering
The Hungry Piggy Food Service,(810) 662-5322,,,Catering
Aboriginal Senior Wish,(519) 756-3593,,,Charity
Dreamcatcher Charitable Foundation,1-866-508-6795,,www.dcfund.ca,Charity
Candyland Cleaning Supplies,(519) 755-7064,,,Cleaning Services
Cleaning by Carole,(226) 388-0226,,,Cleaning Services
Kristy's Cleaning Service,(519) 757-2205,,,Cleaning Services
Wanda's Cleaning Service,(519) 445-2755,,,Cleaning Services
By The Six Clothing,(519) 732-5877,,www.bythesixclothing.com,Clothing
Dinawo,(519) 445-4990,(519)770-5190,www.dinawo.ca,Clothing
G & M Sportswear/Workwear,(519) 445-0215,,,Clothing
General Image Crafts & Clothing,(905) 765-3944,,,Clothing
Min's Indian Crafts,(519) 445-2472,By appointment only,,Clothing
Rez Rootz Clothing,(226) 920-9359,,,Clothing
Sherry Berry Designs,(519) 755-1549,,,Clothing
Chiefswood Properties,(519) 732-1462,,,Commercial Leasing
K.L. Martin & Associates Corp.,(519) 445-2253,,www.klmtech.ca,Community Building Designs
iC SuperCOMPUTERS,(519) 752-2678,,www.icsupercomputers.com,Computer Consulting/Sales/Services
RJM Computers,(519) 900-1853,,,Computer Consulting/Sales/Services
A6N,(519) 282-5887,,www.a6n.ca,Construction
Antony Hill -Renovations,(519) 774-7267,,,Construction
B.C. Sandblasting/Painting,(905) 741-7216,(226) 387-1123,,Construction
Bang Level Excavating,(905) 768-3000,,,Construction
Blackhawk Electric,(289) 244-7026,,,Construction
Cecil's Construction,(519) 802-4021,(519) 802-4012,,Construction
Claus Plumbing,(519) 758-4702,,,Construction
D.G Siding,(519) 732-1597,,,Construction
Dan Elliott Construction,(519) 445-4822,(519) 774-2184,,Construction
Ed Maracle- Roofing/Painting/Insulation/Drywall,(519) 717-2679,,,Construction
Elgin Butler Construction,(519) 802-4854,,,Construction
Fabes Painting,(519) 761-3208,,,Construction
Fjord Metal Roofing,(519) 774-9633,,,Construction
Gord's Contracting & Excavation,(519) 445-2710,,,Construction
Green's Construction,(519) 861-3173,(519) 445-2468,,Construction
Hilco Builders,(519) 445-2403,,,Construction
Hill's Log Home Supplies,(519) 732-1462,,,Construction
J Logan Welding,(519) 865-1082,,,Construction
K & S Excavating,(226) 388-0539,,,Construction
Kitchens by Authentic Design,(519) 445-1471,,www.kitchensbyauthentic.ca,Construction
Miller Electric,(519) 732-7097,(226) 388-1816 Melissa,,Construction
Mohawk Log Homes,(226) 387-0175,,,Construction
Oneka Construction Ltd,(548) 885-4751,,www.onekaconstruction.ca,Construction
Porter Trucking and Construction,(519) 445-1786,,,Construction
R.H. General Contracting,(519) 445-1809,,,Construction
R.M. Roofing Ltd.,(519) 445-2459,,,Construction
Sheila's Painting,(519) 717-0690,,,Construction
Squire Construction & Log Homes,(519) 445-4543,(509) 209-3917,,Construction
T.C.B. Drafting & Consulting/Survey,(226) 388-4191,,,Construction
Terry Martin Concrete,(519) 445-2314,,,Construction
VanEvery's Contracting,(519) 758-4236,,,Construction
Consulting & Publications Ink,(519) 771-5681,,,Consultants
Creative Expressions of a Wolf,(226) 387-2580,,,Consultants
Kevin V. Sandy Consulting,(226) 922-9097,,,Consultants
Market Place Solutions Inc.,(519) 732-5590,,www.mpsi.ca,Consultants
Nahkwa Mohawk Language Translation & Consultant,(905) 923-0367,(519) 445-2036,www.nahkwa.com,Consultants
R & W Consulting,(519) 445-0835,(519) 756-0704,,Consultquants
Staats & Associates,(519) 732-1204,,,Consultants
First Nations Engineering Services Ltd.,(519) 445-0040,,www.fnesl.ca,Consulting Engineering
Qualia Counselling Services,(519) 445-1929,(226) 792-8433  text,www.qualiacounselling.com,Counselling
Michelle Farmer's Studio of Dance & Modelling,(519) 717-9099,,,Dance & Modelling
Rodd's Transport,(519) 445-4543,(519) 209-3917,,Delivery Services
HLS Huskies,(519) 445-4031,,,Dog Breeding
HairSpaw - Mobile Service,(289) 776-6916,,,Dog Grooming
Kayanase,(519) 770-0013,,www.kayanase.ca,Ecological Restoration
Haudenosaunee Lacrosse Program,(226) 922-9097,,,Education Resource
Nations Uniting Sharing Centre,(519) 445-2424,,www.nationsuniting.com,Education Resource
Ohwejagehka: Hadegaenage - Native Music & Language,(519) 732-1452,,www.ohwejagehka.com,Education Resource
They Are Coming Home,(226) 387-2580,,,Education Resource
Grand River Employment and Training,(519) 445-2222,1-888-218-8230,www.greatsn.com,Employment/Training
Ashlee's Bouncy Castles,(519) 900-5062,,www.abc-castles.com,Entertainment
B U Photo Booth Rental,(226) 388-0995,,www.facebook.com/BUPhotoBoothRental/,Entertainment
CKRZ 100.3 FM (SONICS),(519) 445-4140,,www.CKRZfm.com,Entertainment
ClaudHoppers Bouncing Bungaz,(289) 260-8116,,,Entertainment
Ha Ha Clowns,(519) 732-6633,,,Entertainment
Jukasa Radio  93.5fm,(905) 296-1286 Contest Line,(905) 296-1270,www.jukasaradio.ca,Entertainment
Lacey Hill - Singer/Songwriter/Motivator,(519) 758-7183,,,Entertainment
LGM Balloonz,(519) 751-4602,,,Entertainment
MontHill Golf & Country Club,(905) 765-4340,,www.monthill.ca,Entertainment
Ohsweken Speedway,(519) 717-0023,,www.ohswekenspeedway.com,Entertainment
Six Nations Bingo Hall,(519) 753-3574,(519) 753-8573 (Hotline),www.sixnationsbingo.ca,Entertainment
Tap Resources and Associates,(519) 445-1794,,www.tapresources.ca,Event Management
Dajoh - Youth and Elders Centre,(519) 445-4311,,,Event Space
Gathering Place by the Grand,(226) 446-9900,(226) 387-4337,www.gatheringplacebythegrand.ca,Event Space
A & J Porter Farms,(519) 761-8599,,,Farming
HLS Ltd.,(905) 536-4398,,,Farming
The Hungry Piggy Greenhouse,(810) 662-5322,,,Farming
3 Flame Crossfit,(905) 818-7533,,,Fitness
Pro-Fit Health Club,(905) 765-1210,,www.pro-fithealthclub.com,Fitness
Warrior Park Athletics,(519) 445-1236,,www.warriorparkathletics.ca,Fitness
Brock Bomberry Flooring,(226) 583-4147,,,Flooring
Woody Thomas Flooring,(519) 445-2160,,,Flooring
Affordable Flowers & Gifts,(519) 445-4615,,,Florist
Flowers by Leenie,(519) 445-9210,,,Florist
Iroquois Custom Coffins,(519) 445-2105,,,Funeral Services
Styres Funeral Home,(519) 445-2262,(905) 768-5733,,Funeral Services
BearPaw Gas & Convenience,(519) 445-2200,,,Gas Stations
Chiefswood Gas,(519) 445-2810,,,Gas Stations
First Line Gas & Variety,(905) 768-0069,,,Gas Stations
Hill's Grocery,(519) 445-4031,,,Gas Stations
Hill's Tire & Gas,(519) 445-4270,,,Gas Stations
Kanata Fuels,(519) 753-3835,,,Gas Stations
KT Gas & Convenience,(519) 756-4825,,,Gas Stations
Lee's Variety,(519) 751-0551,,,Gas Stations
Little Buffalo,(905) 768-4197,,,Gas Stations
MJ's Gas N Variety,(905) 768-3777,,,Gas Stations
New Credit Variety & Gas Bar,(905) 768-8787,,,Gas Stations
Oasis Variety & Gas,(519) 445-2756,,,Gas Stations
Pineridge Gas Bar,(519) 445-0036,,,Gas Stations
Ren Mar Energy,(519) 759-2997,,,Gas Stations
River Range Gas,(905) 765-1800,,,Gas Stations
Route 54 Variety & Gas,(519) 754-1723,,www.facebook.com/Route54VarietyAndGas,Gas Stations
Sit 'N Bull Gas & Variety,(905) 765-2356,,,Gas Stations
Southpaw Gas & Variety,(519) 445-2020,,,Gas Stations
Stop & Save Gas & Variety,(905) 768-7264,(905) 768-5775,,Gas Stations
Styres Gas & Variety,(519) 445-0550,,,Gas Stations
Toby's Gas Bar,(905) 768-5188,,,Gas Stations
Townline Variety & Gas,(519) 445-0259,,,Gas Stations
A Bizzy B Shop,(905) 869-7220,(905) 768-1259,www.abizzybshop.com,Gift Shop
Debras' Fashion & Smok'n doodads,(519) 445-0123,(866) 553-4464,www.debrasdoodads.com,Gift Shops
L.A. Tuesday's Gift and Fireworks,(289) 682-1670,(905) 768-1996,,Gift Shops
Six Nations Trading Post & Gift Shop,(519) 445-2671,,,Gift Shops
Rez Chic Paper & Apparel,(519) 445-4532,(519) 758-7950,www.rezchic.com,Graphic Design
Townline Clover Farm,(519) 445-0259,,,Grocery
Colour Cut and Curl by Rachel - Mobile Service,(519) 717-4684,,,Hair Salons
General Image Family Hair Care,(905) 765-3944,,,Hair Salons
Grand River Spa & Wellness Centre,(905) 765-6300,,www.grandriverspa.com,Hair Salons
IN Stylz,(519) 445-0908,,,Hair Salons
Shannon's Little Hair Shop,(905) 768-0062,,,Hair Salons
Treat Yourself,(289) 758-2000,,,Hair Salons
Aloette-Beauty Consultant,(519) 732-4587,,www.aloette.com,Health & Beauty
Amethyst Lavender Gardens,(519) 503-0791,,,Health & Beauty
Arbonne International,(519) 861-1870,,http://donnaleejohnson.arbonne.com/,Health & Beauty
Beauty by Taysha,(310) 729-5905,,www.facebook.com/BeautyByTaysha,Health & Beauty
Choosing to Live Healthy Spa & Fitness,(519) 770-7671,,,Health & Beauty
Elation Laser Clinic & Spa,(519) 428-5300,,www.elationspa.com,Health & Beauty
Pink Drink Nation,(519) 732-9441,,www.PinkDrinkNation.com,Health & Beauty
Postpartum Doula - Labour & Birth,(519) 802-3894,,,Health & Beauty
Soothe Esthetics Studio,(519) 770-2791,,,Health & Beauty
Sue's Sales,(519) 732-0646,,,Health & Beauty
V.S. Beauty Products,(519) 445-4543,,,Health & Beauty
Williams Bros Heating & Cooling Ltd.,(905) 768-2777,(905) 541-7103,,Heating & Cooling
Ancestral Voices Healing Centre,(226) 583-5119,(519) 445-0777,www.ancestralvoices.ca,Holistic Healing
Certified Nutritional Practitioner-Metabolic Coach,(519) 770-8485,,www.lifesustainers.com,Holistic Healing
Dancing Moon Holistic,(519) 802-7015,,,Holistic Healing
Jane Burning Holistic Consulting Services,(519) 445-1904,(519) 732-8806,www.janeburning.com,Holistic Healing
Ka'shatstenhseri:yo,(519) 750-4702,,,Holistic Healing
Lifesustainers,(519) 770-8485,,www.lifesustainers.com,Holistic Healing
Mohawk Spiritual Healing Forest,(519) 445-2442,,,Holistic Healing
EPICURE,(905) 517-7281,,,Home Parties
Bibbidi Bobbidi Boo Home Care,(519) 732-6265,,,Home Support
Grand River Insurance Brokers,(519) 445-2795,,www.grandriverinsurance.ca,Insurance
Six Nations Internet,(519) 445-4168,,,Internet Providers
Sixtel Communications,(519) 445-3000,,www.sixtel.ca,Internet Providers
Barb's Gold,(519) 751-5334,,,Jewellery
Heather Designs,(226) 966-3874,,,Jewellery
Sapling & Flint Gallery,(519) 445-0010,,www.saplingandflint.ca,Jewellery
Ed Maracle - Tree Removal & Tree Trimming Services,(519) 717-2679,,,Landscaping
Froman's Landscaping,(519) 756-0704,(519) 445-0835,,Landscaping
Little Brown Bear Tree Service,(519) 755-0997,,Instagram@brownbeartrees,Landscaping
Mudcat Milling and Forestry Services,(519) 209-5658,,,Landscaping
Outta Sight Landscapes,(289) 698-6807,,,Landscaping
enohai:hodageh - Laundromat,(519) 445-4533,,,Laundromat
Village Laundromat,(519) 445-4676,,,Laundromat
Kimberly Thomas Prof. Corp.-Barrister & Solicitor,(519) 445-2788,(416) 402-4908,,Legal Services
Montour Law,(519) 445-4788,,,Legal Services
Porter Law Office,(519) 445-4502,,www.porterlaw.ca,Legal Services
Porter Law Office,(905) 692-4949,,www.porterlaw.ca,Legal Services
Grand River Enterprises,(519) 445-0919,,,Manufacturing
Green Living Manufacturing,(519) 445-4543,(226)387-0175,www.greenlivingmanufacturing.com,Manufacturing
Jukasa Media Group,(905) 765-4823,,www.jukasamediagroup.com,Media
Standing Pine Productions,(310) 729-5905,,www.standingpineproductions.com,Media
Two Row Times,(519) 900-5535,(519) 900-6013,www.tworowtimes.com,Media
